Sr No,Symbol,Company Name,"Market capitalization as on December 30, 2022
(Rs in Lakhs)"
1100,FAZE3Q,Faze Three Limited,69309
1101,ZUARI,Zuari Agro Chemicals Limited,68933
1102,3IINFOLTD,3i Infotech Limited,68619
1103,HPAL,HP Adhesives Limited,68575
1104,BETA,Beta Drugs Limited,68258
1105,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,68183
1106,SUMMITSEC,Summit Securities Limited,67973
1107,HERCULES,Hercules Hoists Limited,67968
1108,CLSEL,Chaman Lal Setia Exports Limited,67771
1109,PARACABLES,Paramount Communications Limited,67770
1110,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,67712
1111,ONWARDTEC,Onward Technologies Limited,67527
1112,DHARMAJ,Dharmaj Crop Guard Limited,67426
1113,BHARATWIRE,Bharat Wire Ropes Limited,67393
1114,ARIHANTCAP,Arihant Capital Markets Limited,67153
1115,RML,Rane (Madras) Limited,66826
1116,SCPL,Sheetal Cool Products Limited,66801
1117,RUBYMILLS,The Ruby Mills Limited,66696
1118,GANDHITUBE,Gandhi Special Tubes Limited,66111
1119,CONTROLPR,Control Print Limited,65915
1120,NRL,Nupur Recyclers Limited,65849
1121,SUKHJITS,Sukhjit Starch & Chemicals Limited,65683
1122,SHREYAS,Shreyas Shipping & Logistics Limited,65422
1123,NAHARPOLY,Nahar Poly Films Limited,65207
1124,ASIANTILES,Asian Granito India Limited,64260
1125,HPL,HPL Electric & Power Limited,64236
1126,DPABHUSHAN,D. P. Abhushan Limited,64138
1127,VIKASLIFE,Vikas Lifecare Limited,63900
1128,INDOAMIN,Indo Amines Limited,63592
1129,DCMSRIND,DCM Shriram Industries Limited,63504
1130,SNOWMAN,Snowman Logistics Limited,63326
1131,YUKEN,Yuken India Limited,62082
1132,DIGISPICE,DiGiSPICE Technologies Limited,61822
1133,ATULAUTO,Atul Auto Limited,61660
1134,REFEX,Refex Industries Limited,61535
1135,LINC,Linc Limited,61006
1136,SCHAND,S Chand And Company Limited,60996
1137,BALAXI,BALAXI PHARMACEUTICALS LIMITED,60869
1138,APOLLO,Apollo Micro Systems Limited,60599
1139,JUBLINDS,Jubilant Industries Limited,59854
1140,FOODSIN,Foods & Inns Limited,59525
1141,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,58951
1142,SPENCERS,Spencer's Retail Limited,58770
1143,ASAL,Automotive Stampings and Assemblies Limited,58151
1144,ELDEHSG,Eldeco Housing And Industries Limited,57459
1145,KELLTONTEC,Kellton Tech Solutions Limited,56547
1146,RBL,Rane Brake Lining Limited,56451
1147,CREST,Crest Ventures Limited,56160
1148,DPWIRES,D P Wires Limited,56002
1149,UNIVPHOTO,Universus Photo Imagings Limited,55882
1150,JAYAGROGN,Jayant Agro Organics Limited,55380
1151,NECLIFE,Nectar Lifesciences Limited,55056
1152,WINDLAS,Windlas Biotech Limited,54508
1153,HCL-INSYS,HCL Infosystems Limited,54320
1154,STCINDIA,The State Trading Corporation of India Limited,54150
1155,MENONBE,Menon Bearings Limited,54135
1156,OSWALAGRO,Oswal Agro Mills Limited,54097
1157,MEDICO,Medico Remedies Limited,54081
1158,TVSELECT,TVS Electronics Limited,53871
1159,NAHARCAP,Nahar Capital and Financial Services Limited,53847
1160,UNIDT,United Drilling Tools Limited,53509
1161,VLSFINANCE,VLS Finance Limited,53470
1162,EXXARO,Exxaro Tiles Limited,53197
1163,HARDWYN,Hardwyn India Limited,53037
1164,TBZ,Tribhovandas Bhimji Zaveri Limited,52484
1165,URJA,Urja Global Limited,52283
1166,HTMEDIA,HT Media Limited,51088
1167,SWELECTES,Swelect Energy Systems Limited,50926
1168,IFBAGRO,IFB Agro Industries Limited,50456
1169,KSOLVES,Ksolves India Limited,50240
1170,DHANBANK,Dhanlaxmi Bank Limited,50223
1171,NRAIL,N R Agarwal Industries Limited,50172
1172,ADSL,Allied Digital Services Limited,49968
1173,NURECA,Nureca Limited,49816
1174,CSLFINANCE,CSL Finance Limited,49561
1175,RAMAPHO,Rama Phosphates Limited,49231
1176,HITECHGEAR,The Hi-Tech Gears Limited,49125
1177,REPRO,Repro India Limited,48978
1178,SREEL,Sreeleathers Limited,48892
1179,MANAKSIA,Manaksia Limited,48692
1180,BBTCL,B&B Triplewall Containers Limited,48068
1181,MUNJALAU,Munjal Auto Industries Limited,48050
1182,AARTISURF,Aarti Surfactants Limited,48029
1183,GOACARBON,Goa Carbon Limited,47965
1184,GENUSPAPER,Genus Paper & Boards Limited,47697
1185,PROZONINTU,Prozone Intu Properties Limited,47612
1186,INNOVANA,Innovana Thinklabs Limited,47560
1187,KRISHIVAL,Empyrean Cashews Limited,47508
1188,ZIMLAB,Zim Laboratories Limited,47361
1189,GVKPIL,GVK Power & Infrastructure Limited,47359
1190,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,47151
1191,UNITECH,Unitech Limited,47093
1192,FCSSOFT,FCS Software Solutions Limited,47013
1193,SHYAMCENT,Shyam Century Ferrous Limited,46784
1194,EQUIPPP,Equippp Social Impact Technologies Limited,46702
1195,MANINDS,Man Industries (India) Limited,46670
1196,PLASTIBLEN,Plastiblends India Limited,46443
1197,LIBERTSHOE,Liberty Shoes Limited,46298
1198,CONSOFINVT,Consolidated Finvest & Holdings Limited,46194
1199,MAGADSUGAR,Magadh Sugar & Energy Limited,46016
1200,SHEMAROO,Shemaroo Entertainment Limited,45884
1201,BALAJITELE,Balaji Telefilms Limited,45812
1202,PDMJEPAPER,Pudumjee Paper Products Limited,45529
1203,THEINVEST,The Investment Trust Of India Limited,45242
1204,PREMEXPLN,Premier Explosives Limited,45084
1205,DONEAR,Donear Industries Limited,45032
1206,HINDCOMPOS,Hindustan Composites Limited,44957
1207,DSSL,Dynacons Systems & Solutions Limited,44800
1208,MAXIND,Max India Limited,44793
1209,GSS,GSS Infotech Limited,44696
1210,MUTHOOTCAP,Muthoot Capital Services Limited,44614
1211,VARDHACRLC,Vardhman Acrylics Limited,44280
1212,ZUARIIND,ZUARI INDUSTRIES LIMITED,44270
1213,NAHARINDUS,Nahar Industrial Enterprises Limited,44257
1214,MANORG,Mangalam Organics Limited,44248
1215,MIRCELECTR,MIRC Electronics Limited,44227
1216,SILVERTUC,Silver Touch Technologies Limited,44009
1217,INDOBORAX,Indo Borax & Chemicals Limited,43771
1218,ORBTEXP,Orbit Exports Limited,43224
1219,DELPHIFX,DELPHI WORLD MONEY LIMITED,43137
1220,KOTHARIPRO,Kothari Products Limited,42975
1221,MALLCOM,Mallcom (India) Limited,42941
1222,KECL,Kirloskar Electric Company Limited,42771
1223,KHADIM,Khadim India Limited,42759
1224,PTL,PTL Enterprises Limited,42625
1225,DEEPENR,DEEP ENERGY RESOURCES LIMITED,42384
1226,GLOBAL,Global Education Limited,42340
1227,NXTDIGITAL,NXTDIGITAL LIMITED,42140
1228,BGRENERGY,BGR Energy Systems Limited,42034
1229,KRITI,Kriti Industries (India) Limited,42014
1230,KAYA,Kaya Limited,41962
1231,PONNIERODE,Ponni Sugars (Erode) Limited,41806
1232,ORICONENT,Oricon Enterprises Limited,41775
1233,SAKAR,Sakar Healthcare Limited,41751
1234,DYCL,Dynamic Cables Limited,41617
1235,PARSVNATH,Parsvnath Developers Limited,41560
1236,IRISDOREME,Iris Clothings Limited,41454
1237,BIRLACABLE,Birla Cable Limited,41250
1238,INDSWFTLAB,Ind-Swift Laboratories Limited,41036
1239,RANASUG,Rana Sugars Limited,40926
1240,SECL,Salasar Exteriors and Contour Limited,40860
1241,MGEL,Mangalam Global Enterprise Limited,40857
1242,DHUNINV,Dhunseri Investments Limited,40842
1243,HMVL,Hindustan Media Ventures Limited,40814
1244,WEALTH,Wealth First Portfolio Managers Limited,40755
1245,BANSWRAS,Banswara Syntex Limited,40668
1246,KOTHARIPET,Kothari Petrochemicals Limited,40516
1247,MUNJALSHOW,Munjal Showa Limited,40515
1248,VIPCLOTHNG,VIP Clothing Limited,40514
1249,SAKUMA,Sakuma Exports Limited,40462
1250,CLEDUCATE,CL Educate Limited,40200
1251,MOLDTECH,Mold-Tek Technologies Limited,40076
1252,CHEMFAB,Chemfab Alkalis Limited,39924
1253,ICEMAKE,Ice Make Refrigeration Limited,39883
1254,NBIFIN,N. B. I. Industrial Finance Company Limited,39829
1255,MARINE,Marine Electricals (India) Limited,39560
1256,EIFFL,Euro India Fresh Foods Limited,39296
1257,RITCO,Ritco Logistics Limited,39273
1258,SALZERELEC,Salzer Electronics Limited,39182
1259,OMINFRAL,OM INFRA LIMITED,39099
1260,PPL,Prakash Pipes Limited,39071
1261,MAWANASUG,Mawana Sugars Limited,38902
1262,GOKUL,Gokul Refoils and Solvent Limited,38707
1263,HITECHCORP,Hitech Corporation Limited,38551
1264,KERNEX,Kernex Microsystems (India) Limited,38115
1265,AYMSYNTEX,AYM Syntex Limited,38039
1266,4THDIM,Fourth Dimension Solutions Limited,37996
1267,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,37784
1268,MSPL,MSP Steel & Power Limited,37771
1269,FROG,Frog Cellsat Limited,37769
1270,CYBERTECH,Cybertech Systems And Software Limited,37604
1271,RUCHIRA,Ruchira Papers Limited,37530
1272,INTLCONV,International Conveyors Limited,37463
1273,KOTARISUG,Kothari Sugars And Chemicals Limited,37424
1274,LYKALABS,Lyka Labs Limited,37211
1275,NDL,Nandan Denim Limited,37190
1276,SKP,SKP Bearing Industries Limited,37184
1277,KCPSUGIND,KCP Sugar and Industries Corporation Limited,37020
1278,HIRECT,Hind Rectifiers Limited,37003
1279,SILINV,SIL Investments Limited,36964
1280,SARLAPOLY,Sarla Performance Fibers Limited,36867
1281,SELAN,Selan Exploration Technology Limited,36731
1282,CUPID,Cupid Limited,36713
1283,PENINLAND,Peninsula Land Limited,36436
1284,COOLCAPS,Cool Caps Industries Limited,36431
1285,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,36306
1286,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,36291
1287,KNAGRI,KN Agri Resources Limited,36248
1288,HINDMOTORS,Hindustan Motors Limited,36202
1289,DYNPRO,Dynemic Products Limited,35973
1290,LOYALTEX,Loyal Textile Mills Limited,35969
1291,RADHIKAJWE,Radhika Jeweltech Limited,35943
1292,JINDALPHOT,Jindal Photo Limited,35761
1293,AURUM,Aurum PropTech Limited,35587
1294,V2RETAIL,V2 Retail Limited,35490
1295,DICIND,DIC India Limited,35486
1296,UFO,UFO Moviez India Limited,35344
1297,SHIVAMAUTO,Shivam Autotech Limited,35261
1298,MINDTECK,Mindteck (India) Limited,35250
1299,NDRAUTO,Ndr Auto Components Limited,35241
1300,TAKE,Take Solutions Limited,35208
1301,SKMEGGPROD,SKM Egg Products Export (India) Limited,35085
1302,VISHWARAJ,Vishwaraj Sugar Industries Limited,35021
1303,FOCE,Foce India Limited,35011
1304,WEBELSOLAR,Websol Energy System Limited,35010
1305,DENORA,De Nora India Limited,34503
1306,ORIENTABRA,Orient Abrasives Limited,34456
1307,HUBTOWN,Hubtown Limited,34222
1308,CINELINE,Cineline India Limited,34108
1309,PPAP,PPAP Automotive Limited,33943
1310,SERVOTECH,Servotech Power Systems Limited,33823
1311,MACPOWER,Macpower CNC Machines Limited,33724
1312,BIRLAMONEY,Aditya Birla Money Limited,33602
1313,BASML,Bannari Amman Spinning Mills Limited,33556
1314,REVATHI,Revathi Equipment Limited,33516
1315,GSCLCEMENT,Gujarat Sidhee Cement Limited,33421
1316,INDOTHAI,Indo Thai Securities Limited,33195
1317,DUCON,Ducon Infratechnologies Limited,33012
1318,SOUTHWEST,South West Pinnacle Exploration Limited,32981
1319,BRNL,Bharat Road Network Limited,32950
1320,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,32937
1321,SIMPLEXINF,Simplex Infrastructures Limited,32857
1322,GKWLIMITED,GKW Limited,32801
1323,FOCUS,Focus Lighting and Fixtures Limited,32793
1324,WEL,Wonder Fibromats Limited,32765
1325,ASHIMASYN,Ashima Limited,32678
1326,VIKASECO,Vikas EcoTech Limited,32665
1327,CHEMBOND,Chembond Chemicals Ltd,32652
1328,APOLSINHOT,Apollo Sindoori Hotels Limited,32631
1329,JSLL,Jeena Sikho Lifecare Limited,32498
1330,SBC,SBC Exports Limited,32487
1331,ALBERTDAVD,Albert David Limited,32345
1332,20MICRONS,20 Microns Limited,32128
1333,KOTYARK,Kotyark Industries Limited,32059
1334,MMP,MMP Industries Limited,32033
1335,QMSMEDI,QMS Medical Allied Services Limited,31925
1336,PRIMESECU,Prime Securities Limited,31884
1337,MEP,MEP Infrastructure Developers Limited,31828
1338,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,31768
1339,GPTINFRA,GPT Infraprojects Limited,31675
1340,ESSENTIA,Integra Essentia Limited,31535
1341,GEECEE,GeeCee Ventures Limited,31441
1342,SAKHTISUG,Sakthi Sugars Limited,31257
1343,WALCHANNAG,Walchandnagar Industries Limited,31130
1344,BPL,BPL Limited,31104
1345,MCLEODRUSS,Mcleod Russel India Limited,30971
1346,ASAHISONG,Asahi Songwon Colors Limited,30818
1347,BCONCEPTS,Brand Concepts Limited,30732
1348,JITFINFRA,JITF Infralogistics Limited,30716
1349,NATHBIOGEN,Nath Bio-Genes (India) Limited,30701
1350,VITAL,Vital Chemtech Limited,30681
1351,AUTOIND,Autoline Industries Limited,30625
1352,IEL,Indiabulls Enterprises Limited,30544
1353,DCMNVL,DCM Nouvelle Limited,30417
1354,EMAMIREAL,Emami Realty Limited,30313
1355,PASUPTAC,Pasupati Acrylon Limited,30261
1356,NIPPOBATRY,Indo-National Limited,30248
1357,FCONSUMER,Future Consumer Limited,29956
1358,ONEPOINT,One Point One Solutions Limited,29902
1359,STEL,Stel Holdings Limited,29815
1360,MAHEPC,Mahindra EPC Irrigation Limited,29589
1361,STARPAPER,Star Paper Mills Limited,29164
1362,WINDMACHIN,Windsor Machines Limited,29122
1363,TRIGYN,Trigyn Technologies Limited,29031
1364,KMSUGAR,K.M.Sugar Mills Limited,28750
1365,DANGEE,Dangee Dums Limited,28639
1366,VERTOZ,Vertoz Advertising Limited,28614
1367,RAJTV,Raj Television Network Limited,28474
1368,PODDARMENT,Poddar Pigments Limited,28387
1369,LGBFORGE,LGB Forge Limited,28346
1370,DEVIT,Dev Information Technology Limited,28331
1371,ABAN,Aban Offshore Limited,28278
1372,INDTERRAIN,Indian Terrain Fashions Limited,28107
1373,EUROBOND,Euro Panel Products Limited,28053
1374,GINNIFILA,Ginni Filaments Limited,28050
1375,MHLXMIRU,Mahalaxmi Rubtech Limited,28032
1376,UCALFUEL,Ucal Fuel Systems Limited,28018
1377,EROSMEDIA,Eros International Media Limited,27863
1378,OSIAHYPER,Osia Hyper Retail Limited,27807
1379,SINTERCOM,Sintercom India Limited,27803
1380,ASIANENE,Asian Energy Services Limited,27756
1381,E2E,E2E Networks Limited,27662
1382,COASTCORP,Coastal Corporation Limited,27598
1383,BMETRICS,Bombay Metrics Supply Chain Limited,27562
1384,GRPLTD,GRP Limited,27369
1385,GOYALALUM,Goyal Aluminiums Limited,27276
1386,MAZDA,Mazda Limited,27230
1387,JAYSREETEA,Jayshree Tea & Industries Limited,27174
1388,ARROWGREEN,Arrow Greentech Limited,27143
1389,SADBHAV,Sadbhav Engineering Limited,27022
1390,BROOKS,Brooks Laboratories Limited,27000
1391,PAVNAIND,Pavna Industries Limited,26859
1392,ARIES,Aries Agro Limited,26847
1393,NILAINFRA,Nila Infrastructures Limited,26784
1394,SOLEX,Solex Energy Limited,26728
1395,SHIVAUM,Shiv Aum Steels Limited,26521
1396,MWL,Mangalam Worldwide Limited,26461
1397,MARALOVER,Maral Overseas Limited,26337
1398,AARVI,Aarvi Encon Limited,26264
1399,AHLEAST,Asian Hotels (East) Limited,26203
1400,TOTAL,Total Transport Systems Limited,25618
1401,ACCURACY,Accuracy Shipping Limited,25279
1402,USASEEDS,Upsurge Seeds Of Agriculture Limited,25165
1403,HARRMALAYA,Harrisons  Malayalam Limited,25109
1404,BIL,Bhartiya International Limited,25049
1405,PVP,PVP Ventures Limited,24873
1406,CAREERP,Career Point Limited,24706
1407,TPLPLASTEH,TPL Plastech Limited,24688
1408,SEJALLTD,Sejal Glass Limited,24644
1409,KRITINUT,Kriti Nutrients Limited,24576
1410,ZODIACLOTH,Zodiac Clothing Company Limited,24500
1411,PIONDIST,Pioneer Distilleries Limited,24373
1412,DTIL,Dhunseri Tea & Industries Limited,24267
1413,KILITCH,Kilitch Drugs (India) Limited,24254
1414,VENUSREM,Venus Remedies Limited,24208
1415,KORE,Jay Jalaram Technologies Limited,24119
1416,MEGASOFT,Megasoft Limited,24012
1417,UNITEDPOLY,United Polyfab Gujarat Limited,23990
1418,REPL,Rudrabhishek Enterprises Limited,23924
1419,BAFNAPH,Bafna Pharmaceuticals Limited,23834
1420,SWASTIK,Swastik Pipe Limited,23801
1421,INSPIRISYS,Inspirisys Solutions Limited,23770
1422,KREBSBIO,Krebs Biochemicals and Industries Limited,23641
1423,PHANTOMFX,Phantom Digital Effects Limited,23612
1424,GUJAPOLLO,Gujarat Apollo Industries Limited,23417
1425,KAMATHOTEL,Kamat Hotels (I) Limited,23313
1426,ANNAPURNA,Annapurna Swadisht Limited,23311
1427,MURUDCERA,Murudeshwar Ceramics Limited,23193
1428,ALLETEC,All E Technologies Limited,23183
1429,IVC,IL&FS Investment Managers Limited,23081
1430,SINTEX,Sintex Industries Limited,23070
1431,ZEELEARN,Zee Learn Limited,22990
1432,HDIL,Housing Development and Infrastructure Limited,22989
1433,MEGASTAR,Megastar Foods Limited,22953
1434,PRECOT,Precot Limited,22824
1435,EIMCOELECO,Eimco Elecon (India) Limited,22771
1436,RAMANEWS,Shree Rama Newsprint Limited,22718
1437,MAANALU,Maan Aluminium Limited,22675
1438,MANAKSTEEL,Manaksia Steels Limited,22478
1439,GIRRESORTS,GIR Natureview Resorts Limited,22472
1440,SIL,Standard Industries Limited,22322
1441,SUPERHOUSE,Superhouse Limited,22265
1442,INVENTURE,Inventure Growth & Securities Limited,22260
1443,TIRUPATIFL,Tirupati Forge Limited,21854
1444,GULFPETRO,GP Petroleums Limited,21847
1445,MBLINFRA,MBL Infrastructure Limited,21841
1446,SPLIL,SPL Industries Limited,21765
1447,PRAXIS,Praxis Home Retail Limited,21764
1448,MANGALAM,Mangalam Drugs And Organics Limited,21708
1449,SUULD,Suumaya Industries Limited,21637
1450,SHREYANIND,Shreyans Industries Limited,21422
1451,MODISONLTD,MODISON LIMITED,21401
1452,SARVESHWAR,Sarveshwar Foods Limited,21361
1453,SADBHIN,Sadbhav Infrastructure Project Limited,21310
1454,AKSHARCHEM,AksharChem India Limited,21276
1455,ARSHIYA,Arshiya Limited,21210
1456,BOHRAIND,Bohra Industries Limited,21103
1457,SIGMA,Sigma Solve Limited,21069
1458,VETO,Veto Switchgears And Cables Limited,21055
1459,AIRAN,Airan Limited,20816
1460,VISESHINFO,Visesh Infotecnics Limited,20759
1461,PALREDTEC,Palred Technologies Limited,20679
1462,VIPULLTD,Vipul Limited,20637
1463,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,20497
1464,KOHINOOR,Kohinoor Foods Limited,20408
1465,PREMIERPOL,Premier Polyfilm Limited,20341
1466,ESSARSHPNG,Essar Shipping Limited,20284
1467,MAHESHWARI,Maheshwari Logistics Limited,20156
1468,TIL,TIL Limited,20045
1469,BSL,BSL Limited,19982
1470,KANPRPLA,Kanpur Plastipack Limited,19945
1471,TIPSFILMS,Tips Films Limited,19812
1472,JAINAM,Jainam Ferro Alloys (I) Limited,19797
1473,ISFT,Intrasoft Technologies Limited,19777
1474,RAJSREESUG,Rajshree Sugars & Chemicals Limited,19765
1475,RPPL,Rajshree Polypack Limited,19744
1476,FLFL,Future Lifestyle Fashions Limited,19673
1477,LOVABLE,Lovable Lingerie Limited,19617
1478,NITCO,Nitco Limited,19402
1479,BHARATGEAR,Bharat Gears Limited,19278
1480,PILITA,PIL ITALICA LIFESTYLE LIMITED,19270
1481,BEDMUTHA,Bedmutha Industries Limited,19245
1482,EMKAY,Emkay Global Financial Services Limited,19207
1483,RNAVAL,Reliance Naval and Engineering Limited,19177
1484,INDOTECH,Indo Tech Transformers Limited,19164
1485,RUCHINFRA,Ruchi Infrastructure Limited,19087
1486,XELPMOC,Xelpmoc Design And Tech Limited,18960
1487,SGIL,Synergy Green Industries Limited,18934
1488,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,18924
1489,SMSLIFE,SMS Lifesciences India Limited,18911
1490,TRF,TRF Limited,18862
1491,LOKESHMACH,Lokesh Machines Limited,18810
1492,SMLT,Sarthak Metals Limited,18728
1493,IL&FSENGG,IL&FS Engineering and Construction Company Limited,18685
1494,PAR,Par Drugs And Chemicals Limited,18586
1495,IITL,Industrial Investment Trust Limited,18499
1496,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,18431
1497,TTL,T T Limited,18327
1498,ALMONDZ,Almondz Global Securities Limited,18249
1499,ASPINWALL,Aspinwall and Company Limited,18221
1500,ELGIRUBCO,Elgi Rubber Company Limited,18218
1501,PRITI,Priti International Limited,18178
1502,MODIRUBBER,Modi Rubber Limited,17904
1503,KRISHNADEF,Krishna Defence and Allied Industries Limited,17882
1504,VISASTEEL,Visa Steel Limited,17658
1505,PASHUPATI,Pashupati Cotspin Limited,17577
1506,A2ZINFRA,A2Z Infra Engineering Limited,17524
1507,SPTL,Sintex Plastics Technology Limited,17494
1508,WORTH,Worth Peripherals Limited,17452
1509,AARON,Aaron Industries Limited,17326
1510,COMPINFO,Compuage Infocom Limited,17282
1511,TIRUPATI,Shree Tirupati Balajee FIBC Limited,17120
1512,SIKKO,Sikko Industries Limited,17102
1513,EMMBI,Emmbi Industries Limited,17080
1514,ANMOL,Anmol India Limited,16972
1515,JOCIL,Jocil Limited,16967
1516,BYKE,The Byke Hospitality Ltd,16941
1517,ALPHAGEO,Alphageo (India) Limited,16921
1518,KBCGLOBAL,KBC Global Limited,16913
1519,ZODIAC,Zodiac Energy Limited,16894
1520,CEREBRAINT,Cerebra Integrated Technologies Limited,16845
1521,TEXMOPIPES,Texmo Pipes and Products Limited,16831
1522,GOLDSTAR,Goldstar Power Limited,16769
1523,RHFL,Reliance Home Finance Limited,16717
1524,ARTNIRMAN,Art Nirman Limited,16596
1525,DJML,DJ Mediaprint & Logistics Limited,16572
1526,GOLDTECH,Goldstone Technologies Limited,16426
1527,GAYAPROJ,Gayatri Projects Limited,16380
1528,GILLANDERS,Gillanders Arbuthnot & Company Limited,16359
1529,OBCL,Orissa Bengal Carrier Limited,16329
1530,BEWLTD,BEW Engineering Limited,16258
1531,WEIZMANIND,Weizmann Limited,16121
1532,AKSHOPTFBR,Aksh Optifibre Limited,16107
1533,UMAEXPORTS,Uma Exports Limited,16093
1534,WANBURY,Wanbury Limited,16021
1535,YAARI,Yaari Digital Integrated Services Limited,15972
1536,COMPUSOFT,Compucom Software Limited,15944
1537,ASCOM,Ascom Leasing & Investments Limited,15927
1538,LOTUSEYE,Lotus Eye Hospital and Institute Limited,15920
1539,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,15909
1540,SHIVATEX,Shiva Texyarn Limited,15659
1541,ASIANHOTNR,Asian Hotels (North) Limited,15631
1542,JMA,Jullundur Motor Agency (Delhi) Limited,15600
1543,RANEENGINE,Rane Engine Valve Limited,15544
1544,DCI,Dc Infotech And Communication Limited,15480
1545,SETCO,Setco Automotive Limited,15450
1546,INTENTECH,Intense Technologies Limited,15439
1547,RVHL,Ravinder Heights Limited,15343
1548,3RDROCK,3rd Rock Multimedia Limited,15316
1549,ALANKIT,Alankit Limited,15297
1550,ASTRON,Astron Paper & Board Mill Limited,15252
1551,DCM,DCM  Limited,15176
1552,INDOWIND,Indowind Energy Limited,15077
1553,AKSHAR,Akshar Spintex Limited,15074
1554,URAVI,Uravi T and Wedge Lamps Limited,15070
1555,RPPINFRA,R.P.P. Infra Projects Limited,15065
1556,SURANAT&P,Surana Telecom and Power Limited,14934
1557,BALLARPUR,Ballarpur Industries Limited,14875
1558,SITINET,Siti Networks Limited,14825
1559,IRIS,Iris Business Services Limited,14799
1560,SVLL,Shree Vasu Logistics Limited,14791
1561,AVROIND,AVRO INDIA LIMITED,14687
1562,SOFTTECH,Softtech Engineers Limited,14665
1563,VAISHALI,Vaishali Pharma Limited,14622
1564,BTML,Bodhi Tree Multimedia Limited,14581
1565,TEMBO,Tembo Global Industries Limited,14529
1566,NOIDATOLL,Noida Toll Bridge Company Limited,14523
1567,JHS,JHS Svendgaard Laboratories Limited,14505
1568,ARCHIDPLY,Archidply Industries Limited,14442
1569,KSHITIJPOL,Kshitij Polyline Limited,14360
1570,INDBANK,Indbank Merchant Banking Services Limited,14312
1571,BHAGYANGR,Bhagyanagar India Limited,14302
1572,BALPHARMA,Bal Pharma Limited,14301
1573,ARVEE,Arvee Laboratories (India) Limited,14287
1574,VINNY,Vinny Overseas Limited,14236
1575,NPST,Network People Services Technologies Limited,14200
1576,PRITIKAUTO,Pritika Auto Industries Limited,14188
1577,RELCHEMQ,Reliance Chemotex Industries Limited,14178
1578,PROPEQUITY,P. E. Analytics Limited,14172
1579,STARTECK,Starteck Finance Limited,14137
1580,SALONA,Salona Cotspin Limited,14114
1581,MANAKALUCO,Manaksia Aluminium Company Limited,14090
1582,PALASHSECU,Palash Securities Limited,13994
1583,AVG,AVG Logistics Limited,13989
1584,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,13963
1585,SMARTLINK,Smartlink Holdings Limited,13890
1586,LEMERITE,Le Merite Exports Limited,13830
1587,LEXUS,Lexus Granito (India) Limited,13817
1588,NILASPACES,Nila Spaces Limited,13786
1589,SHIGAN,Shigan Quantum Technologies Limited,13772
1590,REMSONSIND,Remsons Industries Limited,13741
1591,PODDARHOUS,Poddar Housing and Development Limited,13739
1592,GENCON,Generic Engineering Construction and Projects Limited,13695
1593,NDGL,Naga Dhunseri Group Limited,13689
1594,LASA,Lasa Supergenerics Limited,13686
1595,NIRAJ,Niraj Cement Structurals Limited,13613
1596,INDIANCARD,Indian Card Clothing Company Limited,13558
1597,UMANGDAIRY,Umang Dairies Limited,13543
1598,CORALFINAC,Coral India Finance & Housing Limited,13521
1599,IL&FSTRANS,IL&FS Transportation Networks Limited,13487
1600,SRPL,Shree Ram Proteins Limited,13420
1601,PANSARI,Pansari Developers Limited,13390
1602,HILTON,Hilton Metal Forging Limited,13388
1603,AHLADA,Ahlada Engineers Limited,13328
1604,ALPA,Alpa Laboratories Limited,13256
1605,ALKALI,Alkali Metals Limited,13034
1606,SUNDARAM,Sundaram Multi Pap Limited,13032
1607,CAPTRUST,Capital Trust Limited,12934
1608,PARIN,Parin Furniture Limited,12930
1609,IVP,IVP Limited,12913
1610,BAHETI,Baheti Recycling Industries Limited,12873
1611,SUNDRMBRAK,Sundaram Brake Linings Limited,12801
1612,SALSTEEL,S.A.L. Steel Limited,12787
1613,SHAHALLOYS,Shah Alloys Limited,12730
1614,AJRINFRA,AJR INFRA AND TOLLING LIMITED,12715
1615,BLBLIMITED,BLB Limited,12714
1616,SPECTRUM,Spectrum Electrical Industries Limited,12686
1617,GTL,GTL Limited,12584
1618,NECCLTD,North Eastern Carrying Corporation Limited,12474
1619,GANGESSECU,Ganges Securities Limited,12360
1620,AIROLAM,Airo Lam limited,12287
1621,ATLANTA,Atlanta  Limited,12184
1622,CCHHL,Country Club Hospitality & Holidays Limited,12178
1623,SPMLINFRA,SPML Infra Limited,12151
1624,NGIL,Nakoda Group of Industries Limited,12116
1625,SECURCRED,SecUR Credentials Limited,12062
1626,KAPSTON,Kapston Services Limited,12056
1627,MUKTAARTS,Mukta Arts Limited,11970
1628,AKG,Akg Exim Limited,11900
1629,GOLDENTOBC,Golden Tobacco Limited,11895
